147040,Dota2,2016-04-12 14:11:00.000000,1.602,2.159,Fnatic,MVP Phoenix,GameResult,ESL Quali,Map2,146880,win2
147041,Dota2,2016-04-12 14:11:00.000000,1.840,1.877,Fnatic,MVP Phoenix,FB,ESL Quali,Map2,146880,win2
147042,Dota2,2016-04-12 14:11:00.000000,1.727,1.992,Fnatic,MVP Phoenix,Kills10,ESL Quali,Map2,146880,win2
147052,Dota2,2016-04-12 15:15:00.000000,1.797,1.918,Fnatic,MVP Phoenix,Kills10,ESL Quali,Map3,146880,win1
147053,Dota2,2016-04-12 15:15:00.000000,1.741,1.976,Fnatic,MVP Phoenix,FB,ESL Quali,Map3,146880,win2
147054,Dota2,2016-04-12 15:15:00.000000,1.614,2.141,Fnatic,MVP Phoenix,GameResult,ESL Quali,Map3,146880,win1
147060,Dota2,2016-04-12 15:58:00.000000,1.597,2.167,Fnatic,MVP Phoenix,Map 4,ESL Quali,Map 4,146880,win1
147061,Dota2,2016-04-12 15:58:00.000000,1.774,1.941,Fnatic,MVP Phoenix,First blood on map 4,ESL Quali,First blood on map 4,146880,win2
147062,Dota2,2016-04-12 15:58:00.000000,1.839,1.878,Fnatic,MVP Phoenix,will take first 10 kills on map 4,ESL Quali,will take first 10 kills on map 4,146880,win1
146864,LoL,2016-04-12 12:06:00.000000,1.153,3.940,EDward Esports,Young Miracles,Total,LSPL,NA,146864,win1
146795,Counter-Strike,2016-04-12 12:05:00.000000,1.047,5.610,Luminosity,TyLoo,Total,DreamHack,NA,146795,win1
146796,Counter-Strike,2016-04-12 12:05:00.000000,1.426,2.521,Luminosity,TyLoo,will win 1st round,DreamHack,will win 1st round,146795,win1
146797,Counter-Strike,2016-04-12 12:28:00.000000,1.306,2.927,Luminosity,TyLoo,will win 16th round,DreamHack,will win 16th round,146795,win2
146762,Counter-Strike,2016-04-12 05:07:00.000000,1.351,2.753,KKona,Vault,Total,CEVO,NA,146762,win2
146851,Counter-Strike,2016-04-12 05:15:00.000000,1.645,2.096,KKona,Vault,GameResult,CEVO,Map1,146762,win2
146853,Counter-Strike,2016-04-12 05:07:00.000000,1.678,2.051,KKona,Vault,will win 1st round on map 1,CEVO,will win 1st round on map 1,146762,win1
146854,Counter-Strike,2016-04-12 05:37:00.000000,1.796,1.919,KKona,Vault,will win 16th round on map 1,CEVO,will win 16th round on map 1,146762,win2
147013,Counter-Strike,2016-04-12 06:01:00.000000,1.548,2.250,KKona,Vault,GameResult,CEVO,Map2,146762,win2
147014,Counter-Strike,2016-04-12 06:07:00.000000,1.774,1.941,KKona,Vault,will win 1st round on map 2,CEVO,will win 1st round on map 2,146762,win2
147015,Counter-Strike,2016-04-12 06:31:00.000000,1.730,1.988,KKona,Vault,will win 16th round on map 2,CEVO,will win 16th round on map 2,146762,win2
146793,Counter-Strike,2016-04-12 03:16:00.000000,1.046,5.626,Selfless,QuetzaL,Total,CEVO,NA,146793,win1
146846,Counter-Strike,2016-04-12 03:16:00.000000,1.108,4.465,Selfless,QuetzaL,GameResult,CEVO,Map1,146793,win1
146847,Counter-Strike,2016-04-12 03:16:00.000000,1.422,2.530,Selfless,QuetzaL,will win 1st round on map 1,CEVO,will win 1st round on map 1,146793,win2
146848,Counter-Strike,2016-04-12 03:44:00.000000,1.481,2.384,Selfless,QuetzaL,will win 16th round on map 1,CEVO,will win 16th round on map 1,146793,win1
146997,Counter-Strike,2016-04-12 04:10:00.000000,1.180,3.685,Selfless,QuetzaL,GameResult,CEVO,Map2,146793,win1
146998,Counter-Strike,2016-04-12 04:10:00.000000,1.524,2.295,Selfless,QuetzaL,will win 1st round on map 2,CEVO,will win 1st round on map 2,146793,win1
146999,Counter-Strike,2016-04-12 04:29:00.000000,1.510,2.324,Selfless,QuetzaL,will win 16th round on map 2,CEVO,will win 16th round on map 2,146793,win1
146586,Counter-Strike,2016-04-11 23:30:00.000000,1.234,3.301,Gambit,PENTA,Total,Kinguin,NA,146586,win1
146691,Counter-Strike,2016-04-11 23:30:00.000000,1.298,2.965,Gambit,PENTA,GameResult,Kinguin,Map1,146586,win2
146692,Counter-Strike,2016-04-11 23:30:00.000000,1.775,1.940,Gambit,PENTA,will win 1st round on map 1,Kinguin,will win 1st round on map 1,146586,win2
146693,Counter-Strike,2016-04-12 00:02:00.000000,1.725,1.994,Gambit,PENTA,will win 16th round on map 1,Kinguin,will win 16th round on map 1,146586,win2
146956,Counter-Strike,2016-04-12 00:41:00.000000,1.352,2.749,Gambit,PENTA,GameResult,Kinguin,Map2,146586,win1
146957,Counter-Strike,2016-04-12 00:41:00.000000,1.689,2.037,Gambit,PENTA,will win 1st round on map 2,Kinguin,will win 1st round on map 2,146586,win1
146958,Counter-Strike,2016-04-12 01:10:00.000000,1.716,2.005,Gambit,PENTA,will win 16th round on map 2,Kinguin,will win 16th round on map 2,146586,win1
